player_name,player_id,season,injury,from,until,days_missed,games_missed,age,dob,nationality_id,nationality_name,club_name,league_id,league_name,overall,value_eur,wage_eur,height_cm,weight_kg,club_position,fifa_update_date,short_name,long_name,combined_name,preferred_foot,work_rate,body_type,pace,month,injury_category,position_category
Nicolo Zaniolo,392085,22/23,Shoulder injury,2022-08-22,2022-09-12,21,6,22,1999-07-02,27,Italy,Roma,31,Serie A,81,53000000,71000,190,75,RF,2022-09-01,N. Zaniolo,Nicolò Zaniolo,Nicolò Zaniolo,Left,High/Medium,Unique,87,Aug,miscellaneous,forwards
Kingsley Michael,401920,22/23,muscular problems,2022-08-29,2022-09-09,11,2,22,1999-08-26,133,Nigeria,Bologna,31,Serie A,66,1900000,8000,176,70,SUB,2022-09-01,K. Michael,Kingsley Dogo Michael,Kingsley Michael,Right,High/Medium,Lean (170-185),73,Aug,muscle injuries,other
Nordin Musampa,420215,22/23,unknown injury,2022-10-13,2023-02-28,138,16,20,2001-10-13,34,Netherlands,FC Groningen,10,Eredivisie,62,825000,1000,179,72,RES,2022-09-01,N. Musampa,Nordin Musampa,Nordin Musampa,Left,Medium/Medium,Normal (170-185),70,Oct,unknown injuries,other
Nordin Musampa,420215,22/23,unknown injury,2022-08-01,2022-09-07,37,5,20,2001-10-13,34,Netherlands,FC Groningen,10,Eredivisie,62,825000,1000,179,72,RES,2022-09-01,N. Musampa,Nordin Musampa,Nordin Musampa,Left,Medium/Medium,Normal (170-185),70,Aug,unknown injuries,other
Melle Meulensteen,426280,22/23,Head injury,2022-11-07,2022-11-30,23,2,22,1999-07-04,34,Netherlands,Vitesse,10,Eredivisie,68,1800000,6000,184,76,CB,2022-09-01,M. Meulensteen,Melle Meulensteen,Melle Meulensteen,Right,High/Medium,Normal (170-185),67,Nov,head and neck injuries,defenders
Lewis Ferguson,428563,22/23,Knock,2022-06-14,2022-07-19,35,2,22,1999-08-24,42,Scotland,Bologna,31,Serie A,70,3600000,15000,181,75,SUB,2022-09-01,L. Ferguson,Lewis Ferguson,Lewis Ferguson,Right,High/High,Normal (170-185),72,Jun,bruises and contusions,other
Paul Akouokou,429901,22/23,Appendicitis,2023-02-04,2023-02-20,16,3,24,1997-12-20,108,Côte d'Ivoire,Real Betis,53,La Liga,70,3300000,10000,182,68,RES,2022-09-01,P. Akouokou,Paul Akouokou,Paul Akouokou,Right,Medium/Medium,Lean (170-185),57,Feb,illnesses and infections,other
Josip Stanisic,483046,22/23,Torn muscle fiber in the adductor area,2023-05-05,2023-05-19,14,2,22,2000-04-02,10,Croatia,FC Bayern München,19,Bundesliga,72,5000000,27000,187,77,SUB,2022-09-01,J. Stanišić,Josip Stanišić,Josip Stanišić,Right,Medium/Medium,Lean (185+),71,May,muscle injuries,other
Josip Stanisic,483046,22/23,Tonsillitis,2022-11-03,2022-11-10,7,2,22,2000-04-02,10,Croatia,FC Bayern München,19,Bundesliga,72,5000000,27000,187,77,SUB,2022-09-01,J. Stanišić,Josip Stanišić,Josip Stanišić,Right,Medium/Medium,Lean (185+),71,Nov,illnesses and infections,other
Sven Michel,186988,22/23,cold,2023-01-13,2023-01-23,10,1,31,1990-07-15,21,Germany,FC Union Berlin,19,Bundesliga,73,2600000,26000,177,78,SUB,2022-09-01,S. Michel,Sven Michel,Sven Michel,Left,High/Medium,Normal (170-185),74,Jan,illnesses and infections,other
Sven Michel,186988,22/23,Corona virus,2022-10-20,2022-10-27,7,2,31,1990-07-15,21,Germany,FC Union Berlin,19,Bundesliga,73,2600000,26000,177,78,SUB,2022-09-01,S. Michel,Sven Michel,Sven Michel,Left,High/Medium,Normal (170-185),74,Oct,coronavirus,other
Mitchell Dijks,187245,22/23,Ill,2023-03-08,2023-03-13,5,1,29,1993-02-09,34,Netherlands,Bologna,31,Serie A,70,1400000,16000,194,90,SUB,2022-09-01,M. Dijks,Mitchell Dijks,Mitchell Dijks,Left,Medium/Medium,Lean (185+),60,Mar,illnesses and infections,other
Mitchell Dijks,187245,22/23,Ill,2023-02-10,2023-02-21,11,2,29,1993-02-09,34,Netherlands,Bologna,31,Serie A,70,1400000,16000,194,90,SUB,2022-09-01,M. Dijks,Mitchell Dijks,Mitchell Dijks,Left,Medium/Medium,Lean (185+),60,Feb,illnesses and infections,other
Mitchell Dijks,187245,22/23,Knee surgery,2022-09-08,2022-11-07,60,9,29,1993-02-09,34,Netherlands,Bologna,31,Serie A,70,1400000,16000,194,90,SUB,2022-09-01,M. Dijks,Mitchell Dijks,Mitchell Dijks,Left,Medium/Medium,Lean (185+),60,Sep,surgeries,other
Bouna Sarr,190685,22/23,Knee surgery,2022-09-01,2023-01-05,126,18,30,1992-01-31,136,Senegal,FC Bayern München,19,Bundesliga,73,2600000,36000,178,71,RES,2022-09-01,B. Sarr,Bouna Sarr,Bouna Sarr,Right,Medium/Medium,Lean (170-185),74,Sep,surgeries,other
Bouna Sarr,190685,22/23,Fitness,2022-07-28,2022-08-04,7,1,30,1992-01-31,136,Senegal,FC Bayern München,19,Bundesliga,73,2600000,36000,178,71,RES,2022-09-01,B. Sarr,Bouna Sarr,Bouna Sarr,Right,Medium/Medium,Lean (170-185),74,Jul,rest and fitness,other
Mike-Steven Bahre,193006,22/23,Muscle injury,2023-04-07,2023-06-01,55,8,26,1995-08-10,21,Germany,Rheindorf Altach,80,Bundesliga,62,475000,3000,179,70,SUB,2023-01-13,M. Bähre,Mike-Steven Bähre,Mike-Steven Bähre,Right,High/Medium,Lean (170-185),72,Apr,muscle injuries,other
Mike-Steven Bahre,193006,22/23,Muscle injury,2023-03-13,2023-03-20,7,1,26,1995-08-10,21,Germany,Rheindorf Altach,80,Bundesliga,62,475000,3000,179,70,SUB,2023-01-13,M. Bähre,Mike-Steven Bähre,Mike-Steven Bähre,Right,High/Medium,Lean (170-185),72,Mar,muscle injuries,other
Florian Grillitsch,195736,22/23,Knock,2023-01-07,2023-02-11,35,8,26,1995-08-07,4,Austria,Ajax,10,Eredivisie,78,15500000,17000,187,77,SUB,2022-09-26,F. Grillitsch,Florian Grillitsch,Florian Grillitsch,Right,Medium/Medium,Lean (185+),65,Jan,bruises and contusions,other
Florian Grillitsch,195736,22/23,Knock,2022-09-17,2022-09-19,2,1,26,1995-08-07,4,Austria,Ajax,10,Eredivisie,78,15500000,17000,187,77,SUB,2022-09-26,F. Grillitsch,Florian Grillitsch,Florian Grillitsch,Right,Medium/Medium,Lean (185+),65,Sep,bruises and contusions,other
Roberto Gagliardini,197471,22/23,Back problems,2022-10-14,2022-10-25,11,2,28,1994-04-07,27,Italy,Inter,31,Serie A,76,6500000,50000,188,77,SUB,2022-09-01,R. Gagliardini,Roberto Gagliardini,Roberto Gagliardini,Right,Medium/Medium,Normal (185+),53,Oct,back injuries,other
Lucas Olaza,216240,22/23,Hamstring injury,2023-04-01,2023-04-24,23,4,27,1994-07-21,60,Uruguay,Real Valladolid,53,La Liga,75,5500000,20000,175,70,SUB,2022-09-01,L. Olaza,Lucas René Olaza Catrofe,Lucas Olaza,Left,High/Medium,Normal (170-185),75,Apr,muscle injuries,other
Thomas Strakosha,222209,22/23,Ankle injury,2022-09-30,2023-01-01,93,19,27,1995-03-19,1,Albania,Brentford,13,Premier League,78,14000000,37000,193,78,SUB,2022-09-01,T. Strakosha,Thomas Strakosha,Thomas Strakosha,Right,Medium/Medium,Lean (185+),NA,Sep,joint and ligament injuries,other
Konrad Laimer,223967,22/23,Ankle injury,2023-06-16,2023-06-23,7,2,25,1997-05-27,4,Austria,RB Leipzig,19,Bundesliga,83,38500000,64000,180,72,LCM,2022-09-01,K. Laimer,Konrad Laimer,Konrad Laimer,Right,Medium/High,Lean (170-185),84,Jun,joint and ligament injuries,midfielders
Konrad Laimer,223967,22/23,Syndesmotic ligament tear,2022-09-12,2023-01-02,112,19,25,1997-05-27,4,Austria,RB Leipzig,19,Bundesliga,83,38500000,64000,180,72,LCM,2022-09-01,K. Laimer,Konrad Laimer,Konrad Laimer,Right,Medium/High,Lean (170-185),84,Sep,joint and ligament injuries,midfielders
Konrad Laimer,223967,22/23,Ankle problems,2022-08-01,2022-08-15,14,2,25,1997-05-27,4,Austria,RB Leipzig,19,Bundesliga,83,38500000,64000,180,72,LCM,2022-09-01,K. Laimer,Konrad Laimer,Konrad Laimer,Right,Medium/High,Lean (170-185),84,Aug,joint and ligament injuries,midfielders
Milos Pantovic,232144,22/23,unknown injury,2023-05-01,2023-05-15,14,2,25,1996-07-07,51,Serbia,FC Union Berlin,19,Bundesliga,71,2400000,18000,186,77,SUB,2022-09-01,M. Pantović,Miloš Pantović,Miloš Pantović,Right,Medium/Medium,Lean (185+),76,May,unknown injuries,other
Milos Pantovic,232144,22/23,unknown injury,2023-01-22,2023-03-15,52,12,25,1996-07-07,51,Serbia,FC Union Berlin,19,Bundesliga,71,2400000,18000,186,77,SUB,2022-09-01,M. Pantović,Miloš Pantović,Miloš Pantović,Right,Medium/Medium,Lean (185+),76,Jan,unknown injuries,other
Milos Pantovic,232144,22/23,unknown injury,2022-10-24,2022-11-01,8,2,25,1996-07-07,51,Serbia,FC Union Berlin,19,Bundesliga,71,2400000,18000,186,77,SUB,2022-09-01,M. Pantović,Miloš Pantović,Miloš Pantović,Right,Medium/Medium,Lean (185+),76,Oct,unknown injuries,other
Milos Pantovic,232144,22/23,unknown injury,2022-09-30,2022-10-05,5,1,25,1996-07-07,51,Serbia,FC Union Berlin,19,Bundesliga,71,2400000,18000,186,77,SUB,2022-09-01,M. Pantović,Miloš Pantović,Miloš Pantović,Right,Medium/Medium,Lean (185+),76,Sep,unknown injuries,other
Milos Pantovic,232144,22/23,unknown injury,2022-08-10,2022-08-25,15,2,25,1996-07-07,51,Serbia,FC Union Berlin,19,Bundesliga,71,2400000,18000,186,77,SUB,2022-09-01,M. Pantović,Miloš Pantović,Miloš Pantović,Right,Medium/Medium,Lean (185+),76,Aug,unknown injuries,other
Grischa Promel,234029,22/23,Broken ankle,2022-11-07,2023-04-06,150,20,27,1995-01-09,21,Germany,TSG Hoffenheim,19,Bundesliga,76,8500000,32000,184,81,SUB,2022-09-01,G. Prömel,Grischa Prömel,Grischa Prömel,Right,High/High,Normal (170-185),65,Nov,bone injuries,other
Renaud Ripart,234802,22/23,Achilles tendon rupture,2023-04-02,2024-01-01,274,29,29,1993-03-14,18,France,Troyes,16,Ligue 1,73,3000000,17000,181,73,RM,2022-09-01,R. Ripart,Renaud Ripart,Renaud Ripart,Right,High/High,Stocky (170-185),69,Apr,joint and ligament injuries,midfielders
Liam Gordon,238029,22/23,Shin injury,2022-07-01,2022-08-03,33,5,26,1996-01-26,42,Scotland,St. Johnstone,50,Premiership,67,1300000,3000,182,77,SUB,2022-09-01,L. Gordon,Liam Craig Gordon,Liam Gordon,Right,Medium/High,Normal (170-185),56,Jul,miscellaneous,other
Glen Kamara,242632,22/23,Ankle injury,2022-10-10,2022-10-31,21,6,26,1995-10-28,17,Finland,Rangers,50,Premiership,75,7500000,46000,183,73,CAM,2022-09-01,G. Kamara,Glen Adjei Kamara,Glen Kamara,Right,Medium/High,Lean (170-185),76,Oct,joint and ligament injuries,midfielders
Edimilson Fernandes,247555,22/23,Ankle problems,2022-09-19,2022-09-22,3,NA,26,1996-04-15,47,Switzerland,FSV Mainz 05,19,Bundesliga,71,2300000,17000,187,77,SUB,2022-09-01,E. Fernandes,Edimilson Fernandes Ribeiro,Edimilson Fernandes,Right,Medium/Medium,Lean (185+),67,Sep,joint and ligament injuries,other
Lucas Holer,248999,22/23,Metatarsal fracture,2022-07-11,2022-09-29,80,10,27,1994-07-10,21,Germany,SC Freiburg,19,Bundesliga,73,3300000,24000,184,83,SUB,2022-09-01,L. Höler,Lucas Höler,Lucas Höler,Right,Medium/High,Normal (170-185),71,Jul,bone injuries,other
Emil Audero,256339,22/23,Shoulder injury,2023-03-09,2023-06-30,113,14,25,1997-01-18,27,Italy,Sampdoria,31,Serie A,78,14500000,16000,192,83,GK,2022-09-01,E. Audero,Emil Audero Mulyadi,Emil Audero,Right,Medium/Medium,Normal (185+),NA,Mar,miscellaneous,goalkeepers
Jeroen Houwen,257980,22/23,Knock,2022-07-01,2022-08-04,34,NA,26,1996-02-18,34,Netherlands,Vitesse,10,Eredivisie,67,1100000,5000,188,73,GK,2022-09-01,J. Houwen,Jeroen Houwen,Jeroen Houwen,Right,Medium/Medium,Normal (185+),NA,Jul,bruises and contusions,goalkeepers
Rolando Aarons,258188,22/23,Hamstring injury,2022-09-18,2022-11-21,64,8,26,1995-11-16,82,Jamaica,Motherwell,50,Premiership,67,1200000,8000,175,76,SUB,2022-09-26,R. Aarons,Rolando Aarons,Rolando Aarons,Left,Medium/Medium,Lean (170-185),78,Sep,muscle injuries,other
Laros Duarte,258513,22/23,unknown injury,2023-01-01,2023-02-21,51,9,25,1997-02-28,34,Netherlands,FC Groningen,10,Eredivisie,67,1300000,3000,180,67,LDM,2022-09-01,L. Duarte,Laros Duarte,Laros Duarte,Right,High/High,Normal (170-185),65,Jan,unknown injuries,midfielders
Demetri Mitchell,258886,22/23,Ankle injury,2022-08-01,2022-10-19,79,10,25,1997-01-11,14,England,Hibernian,50,Premiership,65,825000,2000,179,71,SUB,2022-09-01,D. Mitchell,Demetri Mitchell,Demetri Mitchell,Left,High/Medium,Normal (170-185),85,Aug,joint and ligament injuries,other
Rade Krunic,259953,22/23,Knee problems,2023-05-12,2023-05-16,4,2,28,1993-10-07,8,Bosnia and Herzegovina,Milan,31,Serie A,77,10500000,58000,184,74,SUB,2022-09-01,R. Krunić,Rade Krunić,Rade Krunić,Right,High/High,Normal (170-185),67,May,joint and ligament injuries,other
Rade Krunic,259953,22/23,Muscle fatigue,2023-01-03,2023-01-23,20,5,28,1993-10-07,8,Bosnia and Herzegovina,Milan,31,Serie A,77,10500000,58000,184,74,SUB,2022-09-01,R. Krunić,Rade Krunić,Rade Krunić,Right,High/High,Normal (170-185),67,Jan,muscle injuries,other
Rade Krunic,259953,22/23,strain,2022-08-19,2022-09-11,23,6,28,1993-10-07,8,Bosnia and Herzegovina,Milan,31,Serie A,77,10500000,58000,184,74,SUB,2022-09-01,R. Krunić,Rade Krunić,Rade Krunić,Right,High/High,Normal (170-185),67,Aug,muscle injuries,other
Komnen Andric,260316,22/23,Pubalgia,2023-03-30,2023-04-27,28,4,27,1995-07-01,51,Serbia,Clermont,16,Ligue 1,69,1600000,10000,189,86,ST,2022-09-01,K. Andrić,Komnen Andrić,Komnen Andrić,Right,High/High,Normal (185+),64,Mar,miscellaneous,forwards
Suat Serdar,261905,22/23,infection,2022-09-12,2022-09-26,14,1,25,1997-04-11,21,Germany,Hertha BSC,19,Bundesliga,77,14500000,30000,184,75,LCM,2022-09-01,S. Serdar,Suat Serdar,Suat Serdar,Right,High/Medium,Normal (170-185),67,Sep,illnesses and infections,midfielders
Ali Karimi,269393,22/23,Hamstring strain,2023-06-02,2023-06-07,5,2,28,1994-02-11,161,Iran,Kayserispor,68,Super Lig,64,600000,5000,185,79,LDM,2022-09-01,A. Karimi,Ali Karimi,Ali Karimi,Right,High/Medium,Lean (185+),59,Jun,muscle injuries,midfielders
Ali Karimi,269393,22/23,unknown injury,2023-03-11,2023-04-24,44,10,28,1994-02-11,161,Iran,Kayserispor,68,Super Lig,64,600000,5000,185,79,LDM,2022-09-01,A. Karimi,Ali Karimi,Ali Karimi,Right,High/Medium,Lean (185+),59,Mar,unknown injuries,midfielders
Ali Karimi,269393,22/23,unknown injury,2022-08-22,2022-10-10,49,8,28,1994-02-11,161,Iran,Kayserispor,68,Super Lig,64,600000,5000,185,79,LDM,2022-09-01,A. Karimi,Ali Karimi,Ali Karimi,Right,High/Medium,Lean (185+),59,Aug,unknown injuries,midfielders
Daniel-Kofi Kyereh,272587,22/23,Cruciate ligament tear,2023-02-09,2023-06-30,141,22,26,1996-03-08,117,Ghana,SC Freiburg,19,Bundesliga,75,7500000,26000,179,73,SUB,2022-09-01,D. Kyereh,Daniel-Kofi Kyereh,Daniel-Kofi Kyereh,Right,Medium/Medium,Normal (170-185),81,Feb,joint and ligament injuries,other
Daniel-Kofi Kyereh,272587,22/23,Fever,2022-11-04,2022-11-14,10,3,26,1996-03-08,117,Ghana,SC Freiburg,19,Bundesliga,75,7500000,26000,179,73,SUB,2022-09-01,D. Kyereh,Daniel-Kofi Kyereh,Daniel-Kofi Kyereh,Right,Medium/Medium,Normal (170-185),81,Nov,illnesses and infections,other
Daniel-Kofi Kyereh,272587,22/23,muscular problems,2022-10-31,2022-11-04,4,1,26,1996-03-08,117,Ghana,SC Freiburg,19,Bundesliga,75,7500000,26000,179,73,SUB,2022-09-01,D. Kyereh,Daniel-Kofi Kyereh,Daniel-Kofi Kyereh,Right,Medium/Medium,Normal (170-185),81,Oct,muscle injuries,other
Daniel-Kofi Kyereh,272587,22/23,muscular problems,2022-10-10,2022-10-20,10,3,26,1996-03-08,117,Ghana,SC Freiburg,19,Bundesliga,75,7500000,26000,179,73,SUB,2022-09-01,D. Kyereh,Daniel-Kofi Kyereh,Daniel-Kofi Kyereh,Right,Medium/Medium,Normal (170-185),81,Oct,muscle injuries,other
Lukas Muhl,279079,22/23,Groin problems,2022-10-12,2023-02-03,114,9,25,1997-01-27,21,Germany,Austria Wien,80,Bundesliga,70,2000000,10000,189,83,RCB,2022-09-01,L. Mühl,Lukas Mühl,Lukas Mühl,Right,Medium/Medium,Normal (185+),70,Oct,muscle injuries,defenders
Lukas Muhl,279079,22/23,unknown injury,2022-08-29,2022-09-02,4,1,25,1997-01-27,21,Germany,Austria Wien,80,Bundesliga,70,2000000,10000,189,83,RCB,2022-09-01,L. Mühl,Lukas Mühl,Lukas Mühl,Right,Medium/Medium,Normal (185+),70,Aug,unknown injuries,defenders
Harry Wilson,279455,22/23,Knee injury,2022-07-30,2022-10-06,68,11,25,1997-03-22,50,Wales,Fulham,13,Premier League,76,10000000,49000,173,70,SUB,2022-09-01,H. Wilson,Harry Wilson,Harry Wilson,Left,High/Low,Normal (170-185),77,Jul,joint and ligament injuries,other
Lucas Hernandez,281963,22/23,Cruciate ligament tear,2022-11-23,2023-06-30,219,35,26,1996-02-14,18,France,FC Bayern München,19,Bundesliga,84,46000000,82000,184,79,LCB,2022-09-01,L. Hernández,Lucas François Bernard Hernández Pi,Lucas Hernández,Left,Medium/Medium,Unique,77,Nov,joint and ligament injuries,defenders
Lucas Hernandez,281963,22/23,Torn muscle bundle,2022-09-14,2022-10-31,47,12,26,1996-02-14,18,France,FC Bayern München,19,Bundesliga,84,46000000,82000,184,79,LCB,2022-09-01,L. Hernández,Lucas François Bernard Hernández Pi,Lucas Hernández,Left,Medium/Medium,Unique,77,Sep,muscle injuries,defenders
Ignacio Pussetto,283528,22/23,Knee surgery,2022-11-02,2023-06-09,219,29,26,1995-12-21,52,Argentina,Sampdoria,31,Serie A,74,5500000,40000,180,74,SUB,2022-09-26,I. Pussetto,Ignacio Pussetto,Ignacio Pussetto,Right,High/Medium,Lean (170-185),78,Nov,surgeries,other
Guglielmo Vicario,286047,22/23,Chest injury,2023-03-03,2023-04-29,57,9,25,1996-10-07,27,Italy,Empoli,31,Serie A,78,15500000,10000,188,76,GK,2022-09-01,G. Vicario,Guglielmo Vicario,Guglielmo Vicario,Right,Medium/Medium,Lean (185+),NA,Mar,miscellaneous,goalkeepers
Murat Paluli,288858,22/23,Shoulder injury,2023-05-15,2023-05-27,12,3,27,1994-08-09,48,Turkey,Sivasspor,68,Super Lig,66,825000,5000,175,69,RB,2022-09-01,M. Paluli,Murat Paluli,Murat Paluli,Right,Medium/Medium,Normal (170-185),71,May,miscellaneous,defenders
Murat Paluli,288858,22/23,unknown injury,2023-02-01,2023-02-05,4,1,27,1994-08-09,48,Turkey,Sivasspor,68,Super Lig,66,825000,5000,175,69,RB,2022-09-01,M. Paluli,Murat Paluli,Murat Paluli,Right,Medium/Medium,Normal (170-185),71,Feb,unknown injuries,defenders
Murat Paluli,288858,22/23,Torn lateral knee ligament,2022-12-24,2023-02-01,39,8,27,1994-08-09,48,Turkey,Sivasspor,68,Super Lig,66,825000,5000,175,69,RB,2022-09-01,M. Paluli,Murat Paluli,Murat Paluli,Right,Medium/Medium,Normal (170-185),71,Dec,joint and ligament injuries,defenders
