player_name,player_id,season,injury,from,until,days_missed,games_missed,age,dob,nationality_id,nationality_name,club_name,league_id,league_name,overall,value_eur,wage_eur,height_cm,weight_kg,club_position,fifa_update_date,short_name,long_name,combined_name,preferred_foot,work_rate,body_type,pace,month,injury_category,position_category,total_days_missed,injury_count
Abdoulaye Kamara,718232,22/23,Knee injury,2023-04-30,2023-06-19,50,4,17,2004-11-06,118,Guinea,Borussia Dortmund,19,Bundesliga,60,775000,800,182,75,RES,2022-09-01,A. Kamara,Abdoulaye Kamara,Abdoulaye Kamara,Right,Medium/Medium,Normal (170-185),67,Apr,joint and ligament injuries,other,186,4
Abdourahmane Barry,536472,21/22,Knock,2022-01-05,2022-01-10,5,3,21,2000-02-21,18,France,SpVgg Greuther Fürth,19,Bundesliga,64,1200000,4000,185,78,SUB,2021-08-16,A. Barry,Abdourahmane Barry,Abdourahmane Barry,Right,Low/Medium,Normal (185+),72,Jan,bruises and contusions,other,5,1
Abdulkadir Omur,271495,22/23,Outer ligament problems,2023-05-29,2023-06-01,3,1,23,1999-06-25,48,Turkey,Trabzonspor,68,Super Lig,75,8500000,28000,168,70,CAM,2022-09-01,A. Ömür,Abdülkadir Ömür,Abdülkadir Ömür,Left,High/Medium,Normal (170-),83,May,joint and ligament injuries,midfielders,132,12
Abdulkadir Parmak,276337,22/23,Knee problems,2022-12-04,2023-05-06,153,19,27,1994-12-28,48,Turkey,Gaziantep F.K.,68,Super Lig,69,1600000,14000,176,70,SUB,2022-09-01,A. Parmak,Abdulkadir Parmak,Abdulkadir Parmak,Right,Medium/High,Lean (170-185),75,Dec,joint and ligament injuries,other,257,9
Abdulkerim Bardakci,199316,22/23,Calf strain,2023-04-05,2023-04-12,7,1,27,1994-09-07,48,Turkey,Galatasaray,68,Super Lig,74,4200000,45000,190,80,LCB,2022-09-01,A. Bardakcı,Abdülkerim Bardakcı,Abdülkerim Bardakcı,Left,High/Medium,Normal (185+),50,Apr,muscle injuries,defenders,59,5
Abdullah Yigiter,393371,22/23,Fracture of fibula shaft,2023-03-29,2023-06-30,93,NA,22,2000-02-20,48,Turkey,Hatayspor,68,Super Lig,65,925000,2000,189,79,SUB,2022-09-01,A. Yiğiter,Abdullah Yiğiter,Abdullah Yiğiter,Right,Medium/Medium,Lean (185+),NA,Mar,bone injuries,other,93,1
Abdulsamed Damlu,341649,21/22,unknown injury,2022-02-24,2022-03-14,18,3,21,1999-07-25,48,Turkey,Yeni Malatyaspor,68,Super Lig,62,775000,1000,191,86,SUB,2021-08-16,A. Damlu,Abdulsamed Damlu,Abdulsamed Damlu,Right,Medium/Medium,Normal (185+),NA,Feb,unknown injuries,other,42,2
Achraf Douiri,516761,22/23,unknown injury,2022-10-16,2022-12-31,76,5,22,1999-11-27,34,Netherlands,FC Volendam,10,Eredivisie,61,700000,1000,180,63,SUB,2022-09-01,A. Douiri,Achraf Douiri,Achraf Douiri,Right,High/Medium,Lean (170-185),82,Oct,unknown injuries,other,76,1
Achraf El Bouchataoui,361122,21/22,Knee surgery,2021-12-14,2022-02-07,55,7,21,2000-01-12,34,Netherlands,RKC Waalwijk,10,Eredivisie,66,1900000,2000,178,74,SUB,2021-08-16,A. El Bouchataoui,Achraf El Bouchataoui,Achraf El Bouchataoui,Right,Medium/Medium,Normal (170-185),67,Dec,surgeries,other,75,2
Achraf Hakimi,398073,22/23,Hamstring injury,2023-02-15,2023-03-06,19,3,23,1998-11-04,129,Morocco,Paris Saint Germain,16,Ligue 1,84,53500000,90000,181,73,RWB,2022-09-01,A. Hakimi,Achraf Hakimi Mouh,Achraf Hakimi,Right,High/Medium,Lean (170-185),92,Feb,muscle injuries,defenders,45,3
Adam Buksa,267160,22/23,Ankle injury,2022-10-26,2023-04-04,160,28,25,1996-07-12,37,Poland,Lens,16,Ligue 1,75,7000000,30000,191,77,SUB,2022-09-01,A. Buksa,Adam Buksa,Adam Buksa,Left,Medium/Low,Lean (185+),67,Oct,joint and ligament injuries,other,246,2
Adam Forshaw,121257,21/22,Broken kneecap,2022-04-22,2022-06-30,69,6,29,1991-10-08,14,England,Leeds United,13,Premier League,71,1600000,40000,174,71,SUB,2021-08-16,A. Forshaw,Adam Forshaw,Adam Forshaw,Right,Low/High,Normal (170-185),65,Apr,bone injuries,other,69,1
Adam Hlozek,552057,22/23,unknown injury,2023-03-28,2023-04-10,13,2,19,2002-07-25,12,Czech Republic,Bayer 04 Leverkusen,19,Bundesliga,77,23000000,27000,188,74,SUB,2022-09-01,A. Hložek,Adam Hložek,Adam Hložek,Right,High/Medium,Normal (185+),78,Mar,unknown injuries,other,13,1
Adam Idah,434223,21/22,Knee injury,2022-02-09,2022-08-23,195,29,20,2001-02-11,25,Republic of Ireland,Norwich City,13,Premier League,67,2500000,10000,190,83,SUB,2021-08-16,A. Idah,Adam Uche Idah,Adam Idah,Right,High/Medium,Normal (185+),72,Feb,joint and ligament injuries,other,195,1
Adam Lallana,43530,22/23,Thigh problems,2023-01-22,2023-04-14,82,12,34,1988-05-10,14,England,Brighton & Hove Albion,13,Premier League,75,2600000,53000,178,73,SUB,2022-09-01,A. Lallana,Adam David Lallana,Adam Lallana,Right,High/Medium,Lean (170-185),61,Jan,miscellaneous,other,156,5
Adam Legzdins,43858,21/22,Knee injury,2022-02-07,2022-03-23,44,10,34,1986-11-23,14,England,Dundee,50,Premiership,63,80000,1000,190,90,GK,2021-08-16,A. Legzdins,Adam Richard Legzdins,Adam Legzdins,Right,Medium/Medium,Normal (185+),NA,Feb,joint and ligament injuries,goalkeepers,44,1
Adam Lewis,347481,21/22,Foot injury,2021-09-30,2022-01-03,95,13,21,1999-11-08,14,England,Livingston,50,Premiership,61,775000,9000,175,63,LB,2021-08-16,A. Lewis,Adam Lewis,Adam Lewis,Left,Medium/Medium,Lean (170-185),66,Sep,miscellaneous,defenders,95,1
Adam Marusic,239802,22/23,Inguinal hernia,2023-05-26,2023-06-30,35,3,29,1992-10-17,15,Montenegro,Lazio,31,Serie A,79,15500000,51000,185,85,LB,2022-09-01,A. Marušić,Adam Marušić,Adam Marušić,Right,Low/High,Normal (185+),84,May,miscellaneous,defenders,54,2
Adam Masina,286949,22/23,Adductor pain,2023-03-10,2023-04-01,22,4,28,1994-01-02,129,Morocco,Udinese,31,Serie A,74,3800000,15000,191,87,SUB,2022-09-01,A. Masina,Adam Masina,Adam Masina,Left,Medium/High,Normal (185+),62,Mar,muscle injuries,other,185,2
Adam Montgomery,757272,21/22,Hamstring injury,2022-02-28,2022-04-27,58,6,18,2002-07-18,42,Scotland,Celtic,50,Premiership,57,425000,2000,178,58,RES,2021-10-01,A. Montgomery,Adam Montgomery,Adam Montgomery,Left,High/Medium,Lean (170-185),76,Feb,muscle injuries,other,58,1
Adam Obert,568333,21/22,Ankle injury,2022-04-15,2022-04-30,15,3,18,2002-08-23,43,Slovakia,Cagliari,31,Serie A,63,1000000,2000,186,75,RES,2022-01-27,A. Obert,Adam Obert,Adam Obert,Left,Low/Medium,Normal (185+),63,Apr,joint and ligament injuries,other,15,1
Adam Ounas,400485,22/23,Muscle injury,2023-04-03,2023-05-01,28,4,25,1996-11-11,97,Algeria,Napoli,31,Serie A,73,4000000,38000,172,65,RES,2022-09-01,A. Ounas,Adam Mohamed Ounas,Adam Ounas,Left,Medium/Low,Lean (170-185),83,Apr,muscle injuries,other,214,15
Adam Szalai,39106,21/22,Ill,2022-04-04,2022-04-14,10,1,33,1987-12-09,23,Hungary,FSV Mainz 05,19,Bundesliga,71,1200000,17000,193,93,SUB,2021-08-16,Á. Szalai,Ádám Csaba Szalai,Ádám Szalai,Right,High/High,Stocky (185+),33,Apr,illnesses and infections,other,115,6
Adam Webster,212847,22/23,muscular problems,2023-05-10,2023-05-22,12,3,27,1995-01-04,14,England,Brighton & Hove Albion,13,Premier League,76,8500000,51000,191,75,LCB,2022-09-01,A. Webster,Adam Webster,Adam Webster,Right,Medium/Medium,Normal (185+),68,May,muscle injuries,defenders,138,5
Adama Traore,262608,21/22,unknown injury,2022-02-04,2022-05-30,115,18,26,1995-06-28,126,Mali,Hatayspor,68,Super Lig,73,4000000,13000,178,70,SUB,2021-08-16,A. Traoré,Adama Noss Traoré,Adama Traoré,Left,High/Medium,Lean (170-185),77,Feb,unknown injuries,other,133,2
Adem Buyuk,54148,21/22,Torn thigh muscle,2022-02-12,2022-02-17,5,1,33,1987-08-30,48,Turkey,Yeni Malatyaspor,68,Super Lig,74,2600000,14000,177,78,RS,2021-08-16,A. Büyük,Adem Büyük,Adem Büyük,Right,High/Medium,Stocky (170-185),75,Feb,muscle injuries,forwards,24,3
Ademola Lookman,406040,22/23,Hamstring muscle injury,2023-04-15,2023-05-20,35,7,24,1997-10-20,14,England,Atalanta,31,Serie A,77,15000000,39000,174,71,RES,2022-09-01,A. Lookman,Ademola Lookman,Ademola Lookman,Right,Medium/Medium,Lean (170-185),85,Apr,muscle injuries,other,35,1
Adil Aouchiche,569385,22/23,horse kiss,2022-09-17,2022-10-08,21,1,19,2002-07-15,18,France,Lorient,16,Ligue 1,72,4600000,8000,181,72,SUB,2022-09-26,A. Aouchiche,Adil Aouchiche,Adil Aouchiche,Right,Medium/Medium,Lean (170-185),68,Sep,back injuries,other,49,2
Adil Auassar,56381,22/23,Knee injury,2023-01-28,2023-02-02,5,1,35,1986-10-06,34,Netherlands,Sparta Rotterdam,10,Eredivisie,66,230000,2000,186,80,LCB,2022-09-01,A. Auassar,Adil Auassar,Adil Auassar,Left,Medium/Medium,Stocky (185+),31,Jan,joint and ligament injuries,defenders,34,5
Adil Demirbag,354173,22/23,Calf injury,2023-04-18,2023-05-08,20,4,24,1997-12-10,48,Turkey,Konyaspor,68,Super Lig,65,1000000,4000,185,78,RCB,2022-09-01,A. Demirbağ,Adil Demirbağ,Adil Demirbağ,Right,Medium/Medium,Normal (185+),51,Apr,muscle injuries,defenders,37,3
Adil Rami,51118,21/22,Fitness,2021-08-24,2021-10-08,45,6,35,1985-12-27,18,France,ESTAC Troyes,16,Ligue 1,72,625000,9000,190,90,SUB,2021-09-23,A. Rami,Adil Rami,Adil Rami,Right,Medium/Medium,Normal (185+),46,Aug,rest and fitness,other,45,1
Adis Jahovic,98536,21/22,unknown injury,2022-05-06,2022-05-08,2,1,34,1987-03-18,19,North Macedonia,Göztepe,68,Super Lig,72,1100000,12000,191,86,ST,2021-08-16,A. Jahović,Adis Jahović,Adis Jahović,Right,High/Low,Normal (185+),65,May,unknown injuries,forwards,27,3
Admir Mehmedi,66058,22/23,unknown injury,2023-03-21,2023-05-02,42,5,31,1991-03-16,47,Switzerland,Antalyaspor,68,Super Lig,73,2500000,21000,183,78,SUB,2022-09-01,A. Mehmedi,Admir Mehmedi,Admir Mehmedi,Right,Medium/Medium,Normal (170-185),66,Mar,unknown injuries,other,228,8
Adnan Ugur,409515,21/22,unknown injury,2022-02-05,2022-02-17,12,3,20,2001-06-28,7,Belgium,Fortuna Sittard,10,Eredivisie,61,775000,2000,174,68,SUB,2021-08-16,A. Ugur,Adnan Ugur,Adnan Ugur,Left,Medium/Medium,Normal (170-185),72,Feb,unknown injuries,other,18,2
Adrian Fein,379979,22/23,Hamstring injury,2023-03-01,2023-04-18,48,6,23,1999-03-18,21,Germany,FC Bayern München,19,Bundesliga,68,2300000,15000,187,81,RES,2022-09-01,A. Fein,Adrian Fein,Adrian Fein,Right,Medium/Medium,Lean (185+),49,Mar,muscle injuries,other,125,5
Adrian Sporle,440371,21/22,Knee injury,2021-10-14,2021-11-22,39,6,25,1995-07-13,52,Argentina,Dundee United,50,Premiership,64,675000,2000,186,76,SUB,2021-08-16,A. Spörle,Adrián Marcelo Spörle,Adrián Spörle,Left,High/Low,Normal (185+),73,Oct,joint and ligament injuries,other,39,1
Adrien Louveau,804817,22/23,Calf injury,2022-09-02,2022-09-12,10,2,22,2000-02-01,18,France,Lens,16,Ligue 1,60,575000,4000,189,86,RES,2022-09-01,A. Louveau,Adrien Louveau,Adrien Louveau,Left,Medium/Medium,Normal (185+),61,Sep,muscle injuries,other,10,1
Adrien Rabiot,182913,22/23,Thigh problems,2023-01-18,2023-01-21,3,1,27,1995-04-03,18,France,Juventus,31,Serie A,80,24000000,105000,192,80,SUB,2022-09-01,A. Rabiot,Adrien Rabiot,Adrien Rabiot,Left,Medium/Medium,Lean (185+),75,Jan,miscellaneous,other,71,8
Adrien Tameze,157507,21/22,Muscle fatigue,2022-01-16,2022-01-21,5,2,27,1994-02-04,18,France,Hellas Verona,31,Serie A,75,6000000,23000,180,78,RCM,2021-08-16,A. Tameze,Adrien Tameze,Adrien Tameze,Right,Medium/Medium,Normal (170-185),68,Jan,muscle injuries,midfielders,5,1
Adrien Thomasson,215977,22/23,Muscle injury,2022-09-13,2022-10-03,20,2,28,1993-12-10,18,France,Strasbourg,16,Ligue 1,77,10500000,28000,177,72,RCM,2022-09-01,A. Thomasson,Adrien Thomasson,Adrien Thomasson,Right,High/High,Lean (170-185),69,Sep,muscle injuries,midfielders,65,2
Adrien Truffert,654539,22/23,Injury to the ankle,2023-03-20,2023-06-15,87,10,20,2001-11-20,18,France,Rennes,16,Ligue 1,75,12000000,25000,173,63,SUB,2022-09-01,A. Truffert,Adrien Truffert,Adrien Truffert,Left,High/Medium,Lean (170-185),73,Mar,miscellaneous,other,87,1
Afimico Pululu,410649,21/22,Corona virus,2022-03-12,2022-03-23,11,2,22,1999-03-23,98,Angola,SpVgg Greuther Fürth,19,Bundesliga,68,2700000,9000,175,80,SUB,2022-01-13,A. Pululu,Afimico Pululu,Afimico Pululu,Left,High/Medium,Normal (170-185),88,Mar,coronavirus,other,11,1
Agustin Marchesin,54534,22/23,Achilles tendon rupture,2023-02-03,2023-08-18,196,20,34,1988-03-16,52,Argentina,Celta de Vigo,53,La Liga,79,3000000,21000,188,81,GK,2022-09-01,A. Marchesín,Agustín Federico Marchesín,Agustín Marchesín,Right,Medium/Medium,Normal (185+),NA,Feb,joint and ligament injuries,goalkeepers,196,1
Agustin Rogel,456535,22/23,Knee surgery,2023-06-26,NA,245,27,24,1997-10-17,60,Uruguay,Hertha BSC,19,Bundesliga,71,3500000,15000,190,84,SUB,2022-09-26,A. Rogel,Agustín Maximiliano Rogel Paita,Agustín Rogel,Right,Medium/High,Stocky (185+),46,Jun,surgeries,other,267,2
Ahmed El Messaoudi,303939,22/23,unknown injury,2023-02-06,2023-02-10,4,1,26,1995-08-03,129,Morocco,Gaziantep F.K.,68,Super Lig,70,1700000,10000,184,85,SUB,2022-09-01,A. El Messaoudi,Ahmed El Messaoudi,Ahmed El Messaoudi,Right,Medium/High,Stocky (170-185),67,Feb,unknown injuries,other,61,6
Ahmed Hassan,184816,22/23,Knee injury,2023-04-28,2023-09-15,140,NA,29,1993-03-05,111,Egypt,Alanyaspor,68,Super Lig,73,3000000,20000,191,78,SUB,2022-09-26,A. Hassan,Ahmed Hassan Mahgoub,Ahmed Hassan,Right,Medium/Low,Normal (185+),54,Apr,joint and ligament injuries,other,180,7
Ahmed Ildiz,226169,21/22,Corona virus,2022-01-06,2022-01-14,8,NA,24,1996-11-29,48,Turkey,Alanyaspor,68,Super Lig,64,800000,3000,181,81,RDM,2021-08-16,A. Ildız,Ahmed Ildız,Ahmed Ildız,Right,Medium/Medium,Lean (170-185),61,Jan,coronavirus,midfielders,8,1
Ahmed Kutucu,452084,21/22,Corona virus,2022-04-25,2022-05-03,8,1,21,2000-03-01,48,Turkey,İstanbul Başakşehir,68,Super Lig,69,3200000,14000,181,76,SUB,2021-08-16,A. Kutucu,Ahmed Kutucu,Ahmed Kutucu,Right,High/Medium,Normal (170-185),78,Apr,coronavirus,other,49,3
Ahmed Musa,168337,22/23,Fitness,2022-10-19,2022-10-23,4,1,29,1992-10-14,133,Nigeria,Fatih Karagümrük,68,Super Lig,72,2300000,20000,171,66,SUB,2022-09-01,A. Musa,Ahmed Musa,Ahmed Musa,Right,High/Medium,Lean (170-185),89,Oct,rest and fitness,other,44,3
Ahmed Touba,325924,22/23,unknown injury,2022-12-25,2023-01-02,8,1,24,1998-03-13,97,Algeria,İstanbul Başakşehir,68,Super Lig,68,1600000,11000,184,81,RES,2022-09-01,A. Touba,Ahmed Touba,Ahmed Touba,Left,Medium/Medium,Normal (170-185),80,Dec,unknown injuries,other,59,3
Ahmet Gulay,655898,21/22,unknown injury,2022-05-13,2022-05-23,10,2,18,2003-01-13,48,Turkey,Alanyaspor,68,Super Lig,62,875000,2000,174,70,SUB,2021-08-16,A. Gülay,Ahmet Gülay,Ahmet Gülay,Left,Medium/Medium,Lean (170-185),66,May,unknown injuries,other,70,4
Ahmet Karademir,727085,22/23,Fitness,2022-08-05,2022-08-30,25,5,18,2004-04-02,48,Turkey,Konyaspor,68,Super Lig,60,625000,1000,173,67,SUB,2022-09-01,A. Karademir,Ahmet Karademir,Ahmet Karademir,Right,High/Medium,Normal (170-185),67,Aug,rest and fitness,other,41,2
Ahmet Oguz,291758,21/22,unknown injury,2022-04-01,2022-04-06,5,1,28,1993-01-16,48,Turkey,Sivasspor,68,Super Lig,73,2800000,15000,176,83,RB,2021-08-16,A. Oğuz,Ahmet Oğuz,Ahmet Oğuz,Right,High/Medium,Normal (170-185),78,Apr,unknown injuries,defenders,47,4
Ahmetcan Kaplan,662131,22/23,Torn lateral knee ligament,2022-11-11,2023-10-23,346,39,19,2003-01-16,48,Turkey,Trabzonspor,68,Super Lig,67,2300000,6000,190,85,SUB,2022-09-01,A. Kaplan,Ahmetcan Kaplan,Ahmetcan Kaplan,Left,Medium/Medium,Normal (185+),63,Nov,joint and ligament injuries,other,395,4
Aiden McGeady,21333,22/23,Hamstring injury,2023-02-19,2023-06-30,131,12,36,1986-04-04,25,Republic of Ireland,Hibernian,50,Premiership,67,325000,2000,177,73,RES,2022-09-01,A. McGeady,Aiden John McGeady,Aiden McGeady,Right,High/Medium,Normal (170-185),64,Feb,muscle injuries,other,240,2
Aimar Oroz,634131,22/23,Ankle injury,2023-01-25,2023-02-16,22,4,20,2001-11-27,45,Spain,Osasuna,53,La Liga,64,1400000,5000,177,73,RES,2022-09-01,NA,Aimar Oroz Huarte,Aimar NA,Right,Medium/High,Lean (170-185),67,Jan,joint and ligament injuries,other,42,2
Aimar Sher,579294,22/23,unknown injury,2022-08-01,2022-08-29,28,4,19,2002-12-20,46,Sweden,Spezia,31,Serie A,62,950000,2000,175,65,RES,2022-09-01,A. Sher,Aimar Sher,Aimar Sher,Right,Medium/Medium,Lean (170-185),64,Aug,unknown injuries,other,111,3
Aimen Moueffek,484992,21/22,Muscle injury,2022-04-01,2022-05-10,39,6,20,2001-04-09,18,France,Saint-Étienne,16,Ligue 1,67,2400000,8000,179,71,SUB,2021-08-16,A. Moueffek,Aimen Moueffek,Aimen Moueffek,Right,Medium/Medium,Normal (170-185),67,Apr,muscle injuries,other,64,3
Aitor Paredes,591916,21/22,Corona virus,2021-08-12,2021-09-12,31,5,21,2000-04-29,45,Spain,Athletic Club,53,La Liga,62,825000,3000,186,76,RES,2021-08-16,NA,Aitor Paredes Casamichana,Aitor NA,Right,Low/Medium,Normal (185+),62,Aug,coronavirus,other,31,1
Ajdin Hasic,522851,22/23,unknown injury,2022-11-25,2023-02-24,91,10,20,2001-10-07,8,Bosnia and Herzegovina,Beşiktaş,68,Super Lig,67,2200000,11000,177,80,SUB,2022-09-01,A. Hasić,Ajdin Hasić,Ajdin Hasić,Left,High/Low,Normal (170-185),76,Nov,unknown injuries,other,130,2
Ajdin Hrustic,265625,22/23,Ankle surgery,2023-01-08,2023-05-19,131,19,25,1996-07-05,195,Australia,Eintracht Frankfurt,19,Bundesliga,72,3100000,18000,183,78,SUB,2022-09-01,A. Hrustić,Ajdin Hrustić,Ajdin Hrustić,Left,Medium/Medium,Lean (170-185),74,Jan,surgeries,other,187,5
Akos Kecskes,204155,22/23,unknown injury,2022-10-22,2022-11-05,14,2,26,1996-01-04,23,Hungary,LASK Linz,80,Bundesliga,67,1200000,8000,190,75,RES,2022-09-01,Á. Kecskés,Ákos Kecskés,Ákos Kecskés,Right,Low/Medium,Lean (185+),54,Oct,unknown injuries,other,14,1
Akos Onodi,501156,21/22,Foot injury,2021-11-30,2022-02-15,77,8,19,2001-09-02,23,Hungary,Aston Villa,13,Premier League,50,110000,2000,195,84,RES,2022-05-03,Á. Onódi,Ákos Onódi,Ákos Onódi,Right,Medium/Medium,Lean (185+),NA,Nov,miscellaneous,other,77,1
Alaaddin Okumus,216608,22/23,Fitness,2023-04-27,2023-05-04,7,2,26,1995-08-23,48,Turkey,Sivasspor,68,Super Lig,63,575000,4000,175,70,SUB,2022-09-01,A. Okumuş,Alaaddin Okumuş,Alaaddin Okumuş,Right,High/Medium,Normal (170-185),65,Apr,rest and fitness,other,51,3
Alan Dzagoev,69683,21/22,Leg injury,2022-04-28,2022-06-30,63,4,31,1990-06-17,40,Russia,CSKA Moskva,67,Premier League,76,6000000,40000,179,75,SUB,2021-08-16,A. Dzagoev,Alan Dzagoev,Alan Dzagoev,Right,High/Medium,Normal (170-185),72,Apr,miscellaneous,other,63,1
Alassane Ndao,569777,22/23,Broken fibula,2022-10-08,2023-01-08,92,11,25,1996-12-20,136,Senegal,Antalyaspor,68,Super Lig,72,3100000,18000,176,68,SUB,2022-09-01,A. Ndao,Alassane Ndao,Alassane Ndao,Right,Medium/High,Lean (170-185),82,Oct,bone injuries,other,108,2
Alassane Plea,167329,22/23,Tonsillitis,2023-04-17,2023-04-21,4,NA,29,1993-03-10,18,France,Borussia Mönchengladbach,19,Bundesliga,78,14000000,35000,181,79,LM,2022-09-01,A. Plea,Alassane Alexandre Pléa,Alassane Plea,Right,High/Medium,Normal (170-185),72,Apr,illnesses and infections,midfielders,46,4
Albert Gudmundsson,305947,21/22,unknown injury,2022-03-12,2022-03-16,4,1,24,1997-06-15,24,Iceland,AZ,10,Eredivisie,71,3000000,7000,177,80,RW,2021-08-16,A. Guðmundsson,Albert Guðmundsson,Albert Guðmundsson,Right,High/Medium,Normal (170-185),79,Mar,unknown injuries,forwards,4,1
Alberto Cerri,197751,21/22,unknown injury,2022-02-26,2022-03-15,17,5,25,1996-04-16,27,Italy,Cagliari,31,Serie A,70,2200000,18000,194,91,SUB,2021-08-16,A. Cerri,Alberto Cerri,Alberto Cerri,Right,Medium/Medium,Normal (185+),54,Feb,unknown injuries,other,17,1
Alberto Grassi,197473,22/23,unknown injury,2023-01-16,2023-02-18,33,5,27,1995-03-07,27,Italy,Empoli,31,Serie A,72,2700000,4000,183,75,CM,2022-09-26,A. Grassi,Alberto Grassi,Alberto Grassi,Right,Medium/Medium,Lean (170-185),64,Jan,unknown injuries,midfielders,77,3
Alberto Moreno,207917,21/22,Cruciate ligament tear,2022-03-07,2022-09-05,182,22,28,1992-07-05,45,Spain,Villarreal,53,La Liga,76,7000000,28000,171,65,SUB,2021-08-16,NA,Alberto Moreno Pérez,Alberto NA,Left,High/Medium,Normal (170-185),82,Mar,joint and ligament injuries,other,182,1
Alberto Soro,487688,21/22,Corona virus,2022-01-05,2022-01-15,10,1,22,1999-03-09,45,Spain,Granada,53,La Liga,71,4200000,13000,173,63,SUB,2021-08-16,NA,Alberto Soro Álvarez,Alberto NA,Left,Medium/Medium,Lean (170-185),79,Jan,coronavirus,other,73,2
Albian Ajeti,195906,22/23,Hamstring injury,2023-02-10,2023-03-18,36,5,25,1997-02-26,47,Switzerland,Celtic,50,Premiership,69,2000000,24000,183,78,RES,2022-09-01,A. Ajeti,Albian Afrim Ajeti,Albian Ajeti,Right,Medium/Low,Normal (170-185),71,Feb,muscle injuries,other,218,3
Albin Ekdal,49275,22/23,unknown injury,2023-01-19,2023-02-10,22,4,32,1989-07-28,46,Sweden,Spezia,31,Serie A,75,4400000,18000,186,82,RCM,2022-09-01,A. Ekdal,Albin Ekdal,Albin Ekdal,Right,Medium/Medium,Lean (185+),41,Jan,unknown injuries,midfielders,138,9
Alejandro Garnacho,811779,22/23,Ankle injury,2023-03-13,2023-05-02,50,11,18,2004-07-01,52,Argentina,Manchester United,13,Premier League,64,1900000,9000,180,70,SUB,2022-09-26,NA,Alejandro Garnacho Ferreyra,Alejandro NA,Right,High/Medium,Lean (170-185),80,Mar,joint and ligament injuries,other,50,1
